PLANTA,MAQUINA,TIPO_CAJA,PRODUCTIVIDAD_CAJAS_HORA
MOSTAZAL,M1,BLISS 500*300,1500
MOSTAZAL,M2,FONDO 5 KILOS,2000
MOSTAZAL,M3,"MALETA 2 KILOS ,YELLOW , RAINIER",2000
MOSTAZAL,M4,"MALETA 2,5 KILOS",2200
MOSTAZAL,M5,"MALETA 2,5 KILOS",2200
MOSTAZAL,M6,"MALETA 2,5 KILOS",2200
MOSTAZAL,M7,"MALETA 2,5 KILOS",2200
MOSTAZAL,M8,"MASTER 2 X 2,5 KILOS",1800
MOSTAZAL,M9,BRASIL FO/TP,1600
MOSTAZAL,M10,TAPA 5 KILOS,2000
MOSTAZAL,M11,"MASTER 2 X 2,5 KILOS",1800
MOSTAZAL,M12,"MASTER 2 X 2,5 KILOS",1800
MOSTAZAL,M13,"MASTER 2 X 2,5 KILOS",1800
MOSTAZAL,M14,"MALETA 2,5 KILOS",2200
MALLOA,M1,BLISS 500*300,1500
MALLOA,M2,FONDO 5 KILOS,2000
MALLOA,M3,"MALETA 2,0 KILOS",2000
MALLOA,M4,"MALETA 2,5 KILOS",2200
MALLOA,M5,"MALETA 2,5 KILOS",2200
MALLOA,M6,"MASTER 2 X 2,5 KILOS",1800
MALLOA,M7,"MASTER 2 X 2,5 KILOS",1800
MALLOA,M8,BRASIL FO/TP,1600
MALLOA,M9,TAPA 5 KILOS,2000
MALLOA,M10,"MASTER 2 X 2,5 KILOS",1800
MALLOA,M11,"MALETA 2,5 KILOS",2200
MOLINA,M1,BLISS 500*300,1500
MOLINA,M2,BRASIL FO/TP,1600
MOLINA,M3,"FONDO 2,5 KILOS",2200
MOLINA,M4,"FONDO 2,5 KILOS",2200
MOLINA,M5,"FONDO 2,5 KILOS",2200
MOLINA,M6,FONDO 5 KILOS,2000
MOLINA,M7,"MALETA 2 KILOS ,YELLOW , RAINIER",2000
MOLINA,M8,"TAPA 2,5 KILOS",2200
MOLINA,M9,"MASTER 2 X 2,5 KILOS",1800
MOLINA,M10,"MASTER 2 X 2,5 KILOS Y RAINIE",1800
MOLINA,M11,"MASTER 2 X 2,5 KILOS",1800
MOLINA,M12,MASTER 3 X 2 KILOS,1800
MOLINA,M13,TAPA 5 KILOS,2000
MOLINA,M14,"TAPA 2,5 KILOS  DOBLE",2200
MOLINA,M15,"FONDO /TAPA 2,5 KLS",2200
MOLINA,M16,"TAPA 2,5 KILOS",2200
